timestamp_s,pred_class,soft_err,cte_px,for_spd,turn_spd,delta_turn_spd,off_line_prob,off_line
0.5,straight,-0.0,-14.33,0.35,-0.0,0.0001,0.0,0
0.533,straight,-0.0,-14.33,0.35,-0.0,0.0001,0.0,0
0.563,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
0.595,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
0.628,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
0.665,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
0.692,straight,-0.0,-14.32,0.35,-0.0,0.0,0.0,0
0.728,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
0.76,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
0.791,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
0.823,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
0.856,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
0.885,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
0.918,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
0.963,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
0.998,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
1.029,straight,-0.0,-14.32,0.35,-0.0,0.0,0.0,0
1.061,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
1.092,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
1.125,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
1.158,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
1.191,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
1.222,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
1.253,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
1.285,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
1.316,straight,-0.0,-14.32,0.35,-0.0,0.0,0.0,0
1.363,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
1.397,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
1.429,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
1.461,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
1.494,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
1.524,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
1.557,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
1.589,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
1.62,straight,-0.0,-14.32,0.35,-0.0,0.0,0.0,0
1.654,straight,-0.0,-14.32,0.35,-0.0,0.0,0.0,0
1.684,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
1.716,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
1.764,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
1.799,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
1.86,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
1.893,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
1.925,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
1.958,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
1.99,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
2.021,straight,-0.0,-14.32,0.35,-0.0,0.0,0.0,0
2.052,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
2.085,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
2.117,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
2.163,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
2.196,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
2.229,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
2.26,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
2.292,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
2.325,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
2.357,straight,-0.0,-14.32,0.35,-0.0,0.0,0.0,0
2.39,straight,-0.0,-14.32,0.35,-0.0,0.0,0.0,0
2.421,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
2.454,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
2.484,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
2.517,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
2.563,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
2.596,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
2.628,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
2.661,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
2.693,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
2.725,straight,-0.0,-14.32,0.35,-0.0,0.0,0.0,0
2.759,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
2.789,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
2.821,straight,-0.0,-14.31,0.35,-0.0,0.0,0.0,0
2.854,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
2.884,straight,-0.0,-14.33,0.35,-0.0,0.0,0.0,0
2.917,straight,-0.0,-12.79,0.35,0.0,0.0,0.0,0
2.963,straight,-0.0,-12.8,0.35,-0.0,0.0,0.0,0
2.996,straight,-0.0,-12.83,0.35,-0.0,0.0,0.0,0
3.03,straight,-0.0,-12.8,0.35,0.0,0.0,0.0,0
3.061,straight,-0.0,-12.8,0.35,-0.0,0.0,0.0,0
3.093,straight,-0.0,-13.17,0.35,-0.0,0.0,0.0,0
3.125,straight,-0.0,-13.17,0.35,-0.0,0.0,0.0,0
3.158,straight,-0.0,-13.17,0.35,-0.0,0.0,0.0,0
3.188,straight,-0.0,-13.13,0.35,0.0,0.0,0.0,0
3.222,straight,-0.0,-13.27,0.35,0.0,0.0,0.0,0
3.253,straight,-0.0,-13.27,0.35,-0.0,0.0,0.0,0
3.284,straight,-0.0,-13.77,0.35,0.0,0.0,0.0,0
3.316,straight,-0.0,-13.69,0.35,-0.0,0.0,0.0,0
3.364,straight,-0.0,-13.69,0.35,-0.0,0.0,0.0,0
3.396,straight,-0.0,-14.04,0.35,0.0,0.0,0.0,0
3.428,straight,-0.0,-14.19,0.35,-0.0,0.0,0.0,0
3.462,straight,-0.0,-14.19,0.35,-0.0,0.0,0.0,0
3.493,straight,-0.0,-14.8,0.35,0.0,0.0,0.0,0
3.555,straight,-0.0,-14.84,0.35,-0.0,0.0,0.0,0
3.589,straight,-0.0,-14.84,0.35,-0.0,0.0,0.0,0
3.62,straight,-0.0,-15.41,0.35,-0.0,0.0,0.0,0
3.652,straight,-0.0,-15.78,0.35,-0.0,0.0,0.0,0
3.684,straight,-0.0,-15.78,0.35,-0.0,0.0,0.0,0
3.715,straight,-0.0,-16.67,0.35,-0.0,0.0002,0.0,0
3.764,straight,-0.0,-16.84,0.35,-0.0,0.0,0.0,0
3.798,straight,-0.0,-16.84,0.35,-0.0,0.0001,0.0,0
3.828,straight,-0.0,-17.62,0.35,-0.0,0.0006,0.0,0
3.861,straight,-0.0,-18.05,0.35,-0.0,0.0003,0.0,0
3.893,straight,-0.0,-18.05,0.35,-0.0,0.0003,0.0,0
3.927,straight,-0.0,-18.71,0.35,0.0,0.0004,0.0,0
3.959,straight,-0.0,-18.7,0.35,-0.0,0.0004,0.0,0
3.987,straight,-0.0,-18.7,0.35,-0.0,0.0,0.0,0
4.022,straight,-0.0,-19.23,0.35,-0.0,0.0002,0.0,0
4.052,straight,-0.0,-19.27,0.35,0.0,0.0005,0.0,0
4.084,straight,-0.0,-19.27,0.35,-0.0,0.0003,0.0,0
4.116,straight,-0.0,-19.42,0.35,0.0,0.0001,0.0,0
4.164,straight,-0.0,-19.75,0.35,-0.0,0.0002,0.0,0
4.196,straight,-0.0,-19.75,0.35,-0.0,0.0001,0.0,0
4.229,straight,-0.0,-19.73,0.35,0.0,0.0001,0.0,0
4.261,straight,-0.0,-19.1,0.35,-0.0001,0.0057,0.0,0
4.293,straight,-0.0,-19.1,0.35,-0.0,0.0051,0.0,0
4.326,straight,-0.0345,NaN,0.344,-0.1792,10.754,0.0,0
4.357,straight,-0.071,NaN,0.3376,-0.2039,1.4766,0.0,0
4.389,straight,-0.071,NaN,0.3376,-0.0284,10.5246,0.0,0
4.42,left,-0.76,-19.22,0.217,-1.0,58.2934,0.0,0
4.452,left,-0.892,-18.81,0.1939,-0.9905,0.5676,0.0,0
4.484,left,-0.892,-18.81,0.1939,-0.3572,37.9976,0.0,0
4.516,straight,-0.0,-18.69,0.35,1.0,81.4348,0.0,0
4.563,straight,-0.0,-18.65,0.35,-0.0005,60.0276,0.0,0
4.597,straight,-0.0,-18.65,0.35,-0.0005,0.0002,0.0,0
4.629,straight,-0.0,-19.25,0.35,-0.0004,0.0014,0.0,0
4.661,straight,-0.0,-19.25,0.35,-0.0005,0.0013,0.0,0
4.692,straight,-0.0,-21.44,0.35,-0.0005,0.0018,0.0,0
4.726,straight,-0.0,-22.95,0.35,-0.0005,0.001,0.0,0
4.758,straight,-0.0,-22.95,0.35,-0.0005,0.0025,0.0,0
4.789,straight,-0.0028,-26.67,0.3495,-0.0152,0.8827,0.0,0
4.821,straight,-0.0971,-28.68,0.333,-0.4916,28.5832,0.0,0
4.852,straight,-0.3277,-30.94,0.2927,-1.0,30.5065,0.0001,0
4.885,straight,-0.3277,-30.94,0.2927,-0.1316,52.1015,0.0001,0
4.915,left,-0.9929,-36.0,0.1763,-1.0,52.1015,0.0,0
4.963,left,-0.9996,-38.69,0.1751,-0.4331,34.0121,0.0,0
4.995,left,-0.9996,-38.69,0.1751,-0.4009,1.9328,0.0,0
5.029,left,-1.0,-44.74,0.175,-0.4031,0.1314,0.0,0
5.06,left,-1.0,-48.16,0.175,-0.4015,0.0994,0.0,0
5.094,left,-1.0,-51.88,0.175,-0.4016,0.0082,0.0,0
5.126,left,-1.0,-51.88,0.175,-0.4017,0.0093,0.0,0
5.156,left,-1.0,-60.26,0.175,-0.4019,0.0101,0.0,0
5.219,left,-1.0,-64.79,0.175,-0.4021,0.0099,0.0,0
5.254,left,-1.0,-64.79,0.175,-0.4022,0.01,0.0,0
5.288,left,-1.0,-74.19,0.175,-0.4024,0.01,0.0,0
5.317,left,-1.0,-79.12,0.175,-0.4026,0.01,0.0,0
5.364,left,-1.0,-79.12,0.175,-0.4027,0.01,0.0,0
5.397,left,-1.0,-92.64,0.175,-0.4029,0.01,0.0,0
5.428,left,-1.0,-97.77,0.175,-0.4031,0.01,0.0,0
5.462,left,-1.0,-97.77,0.175,-0.4032,0.01,0.0,0
5.494,left,-1.0,-107.02,0.175,-0.4034,0.01,0.0,0
5.526,left,-1.0,-112.56,0.175,-0.4036,0.01,0.0,0
5.556,left,-1.0,-112.56,0.175,-0.4037,0.01,0.0,0
5.589,left,-1.0,-125.31,0.175,-0.4039,0.01,0.0,0
5.62,left,-1.0,-130.34,0.175,-0.4041,0.01,0.0,0
5.654,left,-1.0,-130.34,0.175,-0.4042,0.01,0.0,0
5.685,left,-1.0,-139.03,0.175,-0.4044,0.01,0.0,0
