timestamp_s,cte_px,for_spd,turn_spd,delta_turn_spd,line_detected
8.713,-14.33,0.3365,6.8083,408.4997,1
8.731,-14.31,0.3365,0.1069,402.0851,1
8.762,-14.32,0.3365,0.1118,0.2919,1
8.788,-14.32,0.3365,0.1115,0.0141,1
8.82,-14.32,0.3365,0.1115,0.0,1
8.853,-14.3,0.3365,0.1068,0.2825,1
8.884,-14.3,0.3365,0.1115,0.2778,1
8.916,-14.3,0.3365,0.1115,0.0,1
8.965,-14.31,0.3365,0.1159,0.2681,1
8.996,-14.33,0.3365,0.1162,0.0184,1
9.028,-14.33,0.3365,0.1116,0.2775,1
9.06,-14.31,0.3365,0.1069,0.2821,1
9.092,-14.32,0.3365,0.1118,0.2919,1
9.125,-14.32,0.3365,0.1115,0.0141,1
9.157,-14.32,0.3365,0.1115,0.0,1
9.188,-14.3,0.3365,0.1068,0.2825,1
9.22,-14.3,0.3365,0.1115,0.2778,1
9.253,-14.3,0.3365,0.1115,0.0,1
9.284,-14.31,0.3365,0.1159,0.2681,1
9.316,-14.31,0.3365,0.1115,0.2637,1
9.348,-14.31,0.3365,0.1115,0.0,1
9.396,-14.32,0.3365,0.1118,0.0143,1
9.428,-14.32,0.3365,0.1115,0.0141,1
9.46,-14.32,0.3365,0.1115,0.0,1
9.492,-14.3,0.3365,0.1068,0.2825,1
9.524,-14.3,0.3365,0.1115,0.2778,1
9.556,-14.31,0.3365,0.1159,0.2681,1
9.588,-14.31,0.3365,0.1115,0.2637,1
9.62,-14.33,0.3365,0.1162,0.2821,1
9.652,-14.31,0.3365,0.1069,0.5597,1
9.684,-14.32,0.3365,0.1118,0.2919,1
9.717,-14.32,0.3365,0.1115,0.0141,1
9.764,-14.32,0.3365,0.1115,0.0,1
9.797,-14.3,0.3365,0.1068,0.2825,1
9.828,-14.3,0.3365,0.1115,0.2778,1
9.86,-14.3,0.3365,0.1115,0.0,1
9.893,-14.31,0.3365,0.1159,0.2681,1
9.924,-14.33,0.3365,0.1162,0.0184,1
9.956,-14.33,0.3365,0.1116,0.2775,1
9.988,-14.31,0.3365,0.1069,0.2821,1
10.02,-14.32,0.3365,0.1118,0.2919,1
10.052,-14.32,0.3365,0.1115,0.0141,1
10.084,-14.3,0.3365,0.1068,0.2825,1
10.116,-14.3,0.3365,0.1115,0.2778,1
10.197,-14.31,0.3365,0.1159,0.2681,1
10.26,-14.31,0.3365,0.1115,0.2637,1
10.292,-14.33,0.3365,0.1162,0.2821,1
10.324,-14.31,0.3365,0.1069,0.5597,1
10.356,-14.32,0.3365,0.1118,0.2919,1
10.389,-14.32,0.3365,0.1115,0.0141,1
10.421,-14.32,0.3365,0.1115,0.0,1
10.452,-14.3,0.3365,0.1068,0.2825,1
10.484,-14.3,0.3365,0.1115,0.2778,1
10.516,-14.3,0.3365,0.1115,0.0,1
10.565,-14.31,0.3365,0.1159,0.2681,1
10.596,-14.33,0.3365,0.1162,0.0184,1
10.628,-14.31,0.3365,0.1069,0.5597,1
10.66,-14.31,0.3365,0.1115,0.2775,1
10.692,-14.32,0.3365,0.1118,0.0143,1
10.725,-14.32,0.3365,0.1115,0.0141,1
10.756,-14.32,0.3365,0.1115,0.0,1
10.788,-14.3,0.3365,0.1068,0.2825,1
10.82,-14.3,0.3365,0.1115,0.2778,1
10.852,-14.31,0.3365,0.1159,0.2681,1
10.885,-14.31,0.3365,0.1115,0.2637,1
10.916,-14.33,0.3365,0.1162,0.2821,1
10.949,-14.31,0.3365,0.1069,0.5597,1
10.996,-14.31,0.3365,0.1115,0.2775,1
11.028,-14.32,0.3365,0.1118,0.0143,1
11.06,-14.3,0.3365,0.1068,0.2966,1
11.092,-14.3,0.3365,0.1115,0.2778,1
11.124,-14.3,0.3365,0.1115,0.0,1
11.156,-14.31,0.3365,0.1159,0.2681,1
11.188,-14.31,0.3365,0.1115,0.2637,1
11.22,-14.33,0.3365,0.1162,0.2821,1
11.252,-14.31,0.3365,0.1069,0.5597,1
11.285,-14.32,0.3365,0.1118,0.2919,1
11.317,-14.32,0.3365,0.1115,0.0141,1
11.364,-14.32,0.3365,0.1115,0.0,1
11.396,-14.3,0.3365,0.1068,0.2825,1
11.428,-14.3,0.3365,0.1115,0.2778,1
11.46,-14.3,0.3365,0.1115,0.0,1
11.492,-14.31,0.3365,0.1159,0.2681,1
11.525,-14.31,0.3365,0.1115,0.2637,1
11.556,-14.33,0.3365,0.1162,0.2821,1
11.588,-14.31,0.3365,0.1069,0.5597,1
11.62,-14.31,0.3365,0.1115,0.2775,1
11.652,-14.32,0.3365,0.1118,0.0143,1
11.685,-14.32,0.3365,0.1115,0.0141,1
11.717,-14.32,0.3365,0.1115,0.0,1
11.764,-14.3,0.3365,0.1068,0.2825,1
11.797,-14.3,0.3365,0.1115,0.2778,1
11.828,-14.3,0.3365,0.1115,0.0,1
11.86,-14.31,0.3365,0.1159,0.2681,1
11.892,-14.33,0.3365,0.1162,0.0184,1
11.956,-12.83,0.339,-0.5691,41.1196,1
11.988,-12.83,0.339,0.1005,40.1725,1
12.02,-12.44,0.3396,-0.0752,10.5421,1
12.052,-12.33,0.3398,0.0434,7.1202,1
12.085,-12.28,0.3399,0.073,1.774,1
12.116,-12.22,0.34,0.0726,0.0257,1
12.164,-12.22,0.34,0.0959,1.4009,1
12.196,-12.14,0.3401,0.0594,2.1882,1
12.228,-12.3,0.3399,0.1668,6.444,1
12.26,-12.3,0.3399,0.0965,4.2213,1
12.292,-12.76,0.3391,0.3086,12.7254,1
12.325,-12.8,0.3391,0.1155,11.5863,1
12.356,-13.16,0.3385,0.2649,8.9686,1
12.388,-13.16,0.3385,0.1029,9.7218,1
12.42,-13.36,0.3381,0.198,5.7073,1
12.453,-13.42,0.338,0.131,4.0219,1
12.484,-13.13,0.3385,-0.0264,9.4425,1
12.517,-13.13,0.3385,0.1028,7.7477,1
12.549,-12.9,0.3389,-0.0025,6.3145,1
12.596,-12.61,0.3394,-0.035,1.9534,1
12.628,-12.3,0.3399,-0.0446,0.5711,1
12.66,-12.3,0.3399,0.0964,8.4606,1
12.692,-11.12,0.3417,-0.4467,32.5887,1
12.724,-10.07,0.3431,-0.4018,2.6945,1
12.756,-9.35,0.344,-0.2607,8.4676,1
12.788,-7.47,0.3462,-0.8163,33.3363,1
12.82,-6.37,0.3472,-0.4704,20.7527,1
12.853,-6.37,0.3472,0.0507,31.2633,1
12.885,-4.3,0.3487,-0.9487,59.9598,1
12.916,-3.38,0.3492,-0.4079,32.4468,1
12.964,-3.38,0.3492,0.027,26.0952,1
12.996,-2.17,0.3497,-0.5623,35.3597,1
13.028,-1.82,0.3498,-0.1526,24.5842,1
13.06,-2.19,0.3497,0.1942,20.8028,1
13.092,-2.78,0.3495,0.3048,6.637,1
13.124,-4.0,0.3489,0.615,18.6109,1
13.156,-4.0,0.3489,0.032,34.9799,1
13.188,-7.03,0.3466,1.4911,87.5508,1
13.22,-9.41,0.344,1.1859,18.3123,1
13.252,-11.58,0.341,1.0865,5.9671,1
13.285,-11.58,0.341,0.091,59.7291,1
13.317,-16.88,0.3316,2.4831,143.5242,1
13.364,-19.98,0.325,1.4618,61.2779,1
13.396,-19.98,0.325,0.152,78.5838,1
13.428,NaN,0.325,0.152,0.0,0
13.46,NaN,0.325,0.152,0.0,0
13.493,NaN,0.325,0.152,0.0,0
13.524,NaN,0.325,0.152,0.0,0
13.556,-28.15,0.305,3.3875,194.1278,1
13.62,-27.85,0.3058,0.094,197.612,1
13.652,-26.63,0.3089,-0.2553,20.9568,1
13.685,-26.63,0.3089,0.1957,27.0631,1
13.716,-22.68,0.3187,-1.3535,92.9561,1
13.764,-20.01,0.3249,-0.9322,25.2809,1
13.796,-20.01,0.3249,0.1523,65.0669,1
13.828,-12.36,0.3398,-3.2248,202.6224,1
13.86,-7.53,0.3461,-2.1658,63.5408,1
13.892,-7.53,0.3461,0.0598,133.5344,1
13.925,2.54,0.3496,-4.8264,293.17,1
